iter	Passed	Remaining
0	158	157904
1	159	79643
2	161	53566
3	162	40512
4	164	32644
5	165	27417
6	166	23668
7	168	20884
8	169	18686
9	171	16947
10	172	15506
11	173	14320
12	175	13325
13	177	12466
14	178	11743
15	180	11084
16	181	10505
17	183	9989
18	184	9542
19	186	9130
20	187	8753
21	189	8420
22	190	8102
23	192	7824
24	194	7566
25	195	7326
26	197	7109
27	198	6899
28	200	6700
29	201	6524
30	203	6348
31	204	6185
32	206	6053
33	207	5908
34	209	5778
35	211	5651
36	212	5530
37	213	5415
38	215	5314
39	217	5215
40	218	5116
41	220	5036
42	222	4951
43	224	4875
44	226	4801
45	227	4722
46	229	4653
47	231	4582
48	232	4514
49	234	4450
50	235	4384
51	237	4321
52	238	4267
53	240	4208
54	241	4155
55	244	4121
56	246	4072
57	247	4021
58	249	3972
59	250	3925
60	252	3881
61	253	3838
62	255	3798
63	256	3757
64	258	3724
65	260	3692
66	262	3654
67	264	3619
68	265	3584
69	267	3549
70	268	3516
71	270	3483
72	271	3451
73	274	3429
74	275	3398
75	277	3368
76	278	3339
77	279	3308
78	281	3280
79	282	3254
80	284	3227
81	286	3202
82	286	3169
83	289	3152
84	290	3129
85	292	3105
86	293	3083
87	295	3060
88	296	3039
89	298	3018
90	299	2995
91	301	2974
92	303	2962
93	305	2945
94	307	2925
95	308	2908
96	310	2892
97	312	2878
98	314	2860
99	315	2843
100	318	2837
101	320	2820
102	322	2804
103	323	2789
104	325	2773
105	326	2757
106	329	2746
107	330	2732
108	332	2720
109	334	2707
110	336	2691
111	337	2678
112	339	2663
113	341	2650
114	342	2636
115	344	2624
116	345	2608
117	347	2599
118	349	2588
119	351	2575
120	352	2563
121	354	2548
122	355	2536
123	357	2523
124	358	2511
125	360	2499
126	361	2485
127	363	2476
128	365	2465
129	366	2454
130	368	2442
131	369	2429
132	370	2418
133	372	2408
134	374	2396
135	375	2386
136	377	2380
137	379	2372
138	381	2360
139	382	2350
140	384	2340
141	385	2327
142	386	2316
143	388	2309
144	390	2300
145	391	2292
146	394	2287
147	395	2279
148	397	2271
149	399	2261
150	400	2253
151	402	2245
152	404	2237
153	405	2227
154	407	2220
155	409	2215
156	411	2206
157	412	2199
158	414	2190
159	415	2183
160	417	2173
161	418	2164
162	420	2157
163	422	2151
164	424	2146
165	425	2138
166	427	2129
167	428	2122
168	430	2114
169	431	2107
170	433	2102
171	435	2095
172	437	2090
173	439	2085
174	440	2077
175	442	2070
176	443	2064
177	445	2057
178	447	2050
179	448	2043
180	450	2036
181	454	2040
182	455	2035
183	457	2029
184	459	2025
185	461	2020
186	463	2016
187	465	2011
188	470	2019
189	472	2012
190	473	2006
191	475	1999
192	476	1992
193	477	1985
194	479	1978
195	480	1972
196	482	1967
197	484	1963
198	486	1958
199	487	1951
200	489	1945
201	491	1939
202	492	1934
203	494	1927
204	495	1921
205	497	1917
206	499	1914
207	501	1908
208	502	1903
209	504	1897
210	505	1891
211	507	1885
